"";"db_ref";"objectives"
"134";"crs_XM-DAC-47015-18965_Bilateral_MSU-MichiganStateUniversity_ICRISAT";"A $37,000 Bilateral grant from MSU-Michigan State University to ICRISAT for Site-specific soil data management for improvement of soil productivity and fram-level profitability for marginal arable lands of Niger"
"135";"crs_XM-DAC-47015-18969_Bilateral_1000Days_ICRISAT";"A $42,000 Bilateral grant from 1000 Days to ICRISAT for Use of Open Data Sources and Platforms (Big Data) to Develop a Dynamic Crop Monitoring System for Rice and Wheat"
"136";"crs_XM-DAC-47015-19002_Window3_BMGF-BillMelindaGatesFoundation_CIAT";"A $250,000 Window 3 grant from BMGF-Bill & Melinda Gates Foundation to CIAT for CGIAR Platform for Big Data in Agriculture Inspire Challenge"
"137";"crs_XM-DAC-47015-19014_Bilateral_IFAD-InternationalFundforAgriculturalDevelopment_IFPRI";"A $41,000 Bilateral grant from IFAD-International Fund for Agricultural Development to IFPRI for WEAI SURVEY AND ANALYSIS"
"138";"crs_XM-DAC-47015-19044_Bilateral_Taiwan-CouncilofAgriculture_IRRI";"A $500,000 Bilateral grant from Taiwan-Council of Agriculture to IRRI for Linking genetic, genotypic and phenotypic data of biotic and abiotic stress tolerance for improved Taiwanese rice varieties"
"139";"crs_XM-DAC-47015-19079_Bilateral_India-DepartmentofAgricultureandCooperation_ICRISAT";"A $43,000 Bilateral grant from India-Department of Agriculture and Cooperation to ICRISAT for Modelling for Optimizing Crop Cutting Experiments (CCE) using SENTINEL 2 Satellite data (in Uttar Pradesh and Madhya Pradesh (Three districts) for Chickpea and Soybean (or Wheat)"
"140";"crs_XM-DAC-47015-19334_Bilateral_FamilyHealthIntl-Inc_IFPRI";"A $73,859 Bilateral grant from Family Health Int'l, Inc. to IFPRI for Alive & Thrive Dataset Management for Open Access"
"141";"crs_XM-DAC-47015-19469_Bilateral_MARSIncorporated_ICRAF";"A $37,810 Bilateral grant from MARS Incorporated to ICRAF for MARS-1527:MPT Database and Peer-reviewed Article (Phase 1) and Computer Simulation of Carbon Stocks in Cacao Agroforestry Systems (Phase 2)"
"142";"crs_XM-DAC-47015-19302_Bilateral_AKADEMIYA2063_ILRI";"A $443,565 Bilateral grant from AKADEMIYA2063 to ILRI for Enhancing Capacities for Better Data and Analytics to Improve Policy Implemetantion and Outcome in Africa"
"143";"crs_XM-DAC-47015-19307_Bilateral_IVVN-InternationalVeterinaryVaccinologyNetwork_ILRI";"A $49,457 Bilateral grant from IVVN-International Veterinary Vaccinology Network to ILRI for Surveying Salmonella antigens for use in a bacteriophage-based vaccine enabling homologous and heterologous protection and colonization-inhibition effect in poultry"
"144";"crs_XM-DAC-47015-19669_Bilateral_AKADEMIYA2063_IWMI";"A $293,565 Bilateral grant from AKADEMIYA2063 to IWMI for Enhancing Capabilities for Better Data and Analytics to Improve Policy Implementation and Outcomes in Africa"
"145";"crs_XM-DAC-47015-19695_Bilateral_McKnightFoundation_ILRI";"A $75,000 Bilateral grant from McKnight Foundation to ILRI for Improved survey approaches for the CCRP in the Andes, Phase II:performing intergral indicator assessments."
"146";"crs_XM-DAC-47015-19546_Bilateral_CTA-TechnicalCentreforAgriculturalandRuralCooperation_AfricaRice";"A $148,185 Bilateral grant from CTA-Technical Centre for Agricultural and Rural Cooperation to AfricaRice for PEJERIZ Baseline Survey"
"147";"crs_XM-DAC-47015-19645_Bilateral_India-MinistryofTribalAffairs-GovernmentofIndia_ICRISAT";"A $29,000 Bilateral grant from India-Ministry of Tribal Affairs, Government of India to ICRISAT for A study on the nutritional status of school children of EMRS through a baseline survey in Odisha"
"148";"crs_XM-DAC-47015-5916_Bilateral_AmericanSoybeanAssocation_WorldFish";"A $236,000 Bilateral grant from American Soybean Assocation to WorldFish for CAST-USDA Baseline Survey"
"149";"crs_XM-DAC-47015-19883_Bilateral_MinderooFoundation_WorldFish";"A $115,000 Bilateral grant from Minderoo Foundation to WorldFish for Data innovations to understand the food and nutrition security potential of fisheries"
"150";"crs_XM-DAC-47015-5908_Bilateral_Japan-JICA-JapanInternationalCooperationAgency_WorldFish";"A $24,000 Bilateral grant from Japan-JICA-Japan International Cooperation Agency to WorldFish for Survey on Fishery Communities in Cox’s Bazar and propose a project concept for strengthening resilience of coastal fisher communities"
"151";"crs_GB-CHC-1105851-01BDA9";"Compile nationwide gender disaggregated data on representation in the various district assemblies in Ghana, analyse and publish
Disseminate reports among civil society, government officials and the citizen
Conduct gender audit of programmes, policies and funds in 3 targeted assemblies
Support the 3 targeted District Assemblies to develop and or update gender policies 
Old districts (Akwapim North & South) provide mentorship and coaching to the new Okere District Assembly for effective take off
 Training workshops 
 Periodic review meetings
 Documenting best practices
 field visits by project team"
"152";"crs_GB-CHC-1105851-9F1462";"(1) To build data management and service capacities of UNICORN and its partner LGBTI organizations. 
(2) To create strong SOGIE-based violence database in Myanmar.  
(3) To provide psycho-social support services for victims of SOGIE-based violence in targeted areas. 
(4) To raise awareness of SOGIE-based violence to relevant government service-providers and stakeholders.  
(5) To evaluate and learn from the project; and plan for the future"
"153";"crs_NL-KVK-41160054-113506";"Cordaid health data officers provide assistance to each of the 14 health districts by checking the completeness and accurateness of the data that are reported monthly by all health centers and hospitals (for instance on the number of patients treated, number of children vaccinated, etc.) before they are entered in the national health information data base (DHIS2). When reported data raise concern, these are checked at the source. Was it a simple error or is there a healthcare delivery problem? To further improve the quality of data collection at the source, the data officers conduct random verification visits to health centers to compare their reported data with what is written in their original registers. These visits are not meant to be policing but serve to help improve the quality of data. Also, quarterly supervision visits are conducted. After data collection, the data are analyzed and presented in an attractive and understandable way with recommendations for decision making on prioritization, budget allocation, staffing etc. Each quarter a multi-stakeholder meeting at the district level is organized to disseminate important health information and build commitment towards reaching health goals"
"154";"crs_NL-KVK-41160054-200747";"People in South Sudan face multiple natural and man-made hazards. Over the past 30 years, the country has been among the most rapidly warming locations on the globe, with temperatures increasing as much as 0.4°C per decade. (South Sudan INC Report 2018). Regional analysis by ICPAC showed that summer rains in South Sudan declined by 15–20 percent, and temperatures rose by >1oC. Rainfall pattern has become increasingly erratic, increasing the incidence of both floods and droughts. Frequency and severity of extreme climate events and depletion of natural resources have increased leading to i) internal conflict among communities as a result of competition for scarce natural resources will increase in certain parts of the country, (ii) water flow in major rivers is reducing and small streams in parts of South Sudan are drying up, thus causing water scarcity, (iii) higher incidences of disease spread such as cholera, typhoid and dysentery as a result of droughts and floods, and (iv) prolonged droughts in addition to human starvation are causing food crises, loss of livestock, internal displacement and migration of people to neighboring countries. 
Droughts, floods, pollution, deforestation, and conflicts have worsened South Sudan’s humanitarian crisis, food insecurity and jeopardize the livelihoods of over 90 percent of the country’s 12 million people (South Sudan State of Environment Report, 2018). The situation is being worsened by the return of over 2 million refugees and internally displaced people (IDPs) and migration of pastoralists with their cattle, in search of water and pasture in the dry season invading agricultural land, leading to further tensions and conflicts. These unplanned internal and external migrations of people and their livestock are one of the major sources of conflict in the country as the migratory routes have changed due to conflict - thus causing conflict between the host communities, IDPs, and migrating people at the local levels over access to natural resources. Moreover, due to droughts and floods, people are being internally displaced or migrating to neighboring countries. This human displacement puts further pressure on scarce natural resources. 
The impact of these events is further induced by the vulnerable socio-economic conditions the people live in and by the degradation of and reduction in ecosystem goods and services from natural resources.  
Development partners, including Cordaid, have tried to address the effects of these hazards by supporting the host communities and IDPs to anticipate risks and implement preparedness and mitigation measures, adapt to changing risks, and transform systems and structures to address underlying factors and root causes. One key challenge for farmers and pastoralist communities is the lack of climatic information as well as early warning indicators on rainfall patterns, seasonal forecasts on vegetation coverage, and water source's availabilities especially during the dry season, magnitude, and severity of droughts and flooding. People have to depend on traditional knowledge to anticipate hazard events. 
Thus, the key problems are a high disaster risk due to frequent occurrence of drought, flood and conflict hazard events, high vulnerability due to limited access to water and other natural resources, and livelihood/food insecurity, and an inadequate capacity to manage this disaster risk due to lack of sufficient and reliable data to inform pastoralist about migratory routes, to feed early warning and provide knowledge about appropriate early actions, and to support proper, fact-based, participatory disaster risk analysis and joint action planning."
"155";"crs_NL-KVK-41160054-200771";"Undetected spread of the novel corona virus, COVID-19, is a threat to countries on the African continent with limited digitally connected health data. The lack of data from all geographies is a problem for the analysis of the global spread of COVID-19, how it spreads, the differentiated impact in different populations, its mutations and associations with treatment. Top-level connect of these data is essential to support the fight against the virus. 

The 2014 Ebola crisis and subsequent crises has taught that it is critical to develop long-lasting and durable solutions to strengthen health systems in terms of capacities to prevent, respond and innovate based on scientific understanding. Global inclusiveness is critical in a connected world where people are mobile."
